"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"DMRcate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.2.1",NA,"R (>= 4.3.0)","AnnotationHub, ExperimentHub, bsseq, GenomeInfoDb, limma,
edgeR, minfi, missMethyl, GenomicRanges, plyr, Gviz, IRanges,
stats, utils, S4Vectors, methods, graphics,
SummarizedExperiment, biomaRt, grDevices",NA,"knitr, RUnit, BiocGenerics,
IlluminaHumanMethylation450kanno.ilmn12.hg19,
IlluminaHumanMethylationEPICanno.ilm10b4.hg19,
IlluminaHumanMethylationEPICv2anno.20a1.hg38,
FlowSorted.Blood.EPIC, tissueTreg, DMRcatedata, EPICv2manifest",NA,"file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"DNAcopy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.80.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"doBy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.7.0",NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.5.2), survival, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"doFuture","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.2",NA,"foreach (>= 1.5.0), future (>= 1.49.0)","future.apply, globals, iterators, parallel, utils",NA,"doRNG (>= 1.8.2), markdown, R.rsp",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"doMC","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.8",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel","utils",NA,NA,"compiler, RUnit","GPL-2",NA,NA,"unix",NA,"no","4.4.0"
"doParallel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.4.0"
"doRNG","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.6.2",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"dorothea","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.18.0",NA,"R (>= 4.0)","dplyr, magrittr, bcellViper, decoupleR,",NA,"Biobase, BiocStyle, OmnipathR, viper, knitr, pheatmap,
pkgdown, rmarkdown, Seurat, SingleCellExperiment,
SummarizedExperiment, testthat (>= 2.1.0), tibble, tidyr, utils",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"DOSE","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.0.1",NA,"R (>= 3.5.0)","AnnotationDbi, BiocParallel, fgsea, ggplot2, GOSemSim (>=
2.31.2), methods, qvalue, reshape2, stats, utils, yulab.utils
(>= 0.1.6)",NA,"prettydoc, clusterProfiler, gson (>= 0.0.5), knitr, memoise,
org.Hs.eg.db, rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.3"
"doSNOW","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.20",NA,"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils",NA,NA,"compiler, RUnit, caret, mlbench, rpart, parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"dotCall64","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2",NA,"R (>= 4.0)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"DOTr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.0.0.9000",NA,"R (>= 4.0)","fields, FNN, ggplot2, Matrix, methods, Seurat, stats, stringr",NA,"knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"downlit","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.4",NA,"R (>= 4.0.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"downloader","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.1",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"dplyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"dqrng","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.1",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.4.0"
"DR.SC","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.5",NA,"parallel, spatstat.geom, R (>= 4.0.0)","CompQuadForm, irlba, cowplot, ggplot2, GiRaF, MASS, Matrix,
mclust, methods, purrr, S4Vectors, RColorBrewer, Rcpp (>=
1.0.5), Seurat, stats","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"drat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.5",NA,"R (>= 3.6.0)","utils",NA,"git2r, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"drawProteins","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.26.0",NA,"R (>= 4.0)","ggplot2, httr, dplyr, readr, tidyr",NA,"covr, testthat, knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"drc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0-1",NA,"R (>= 2.0.0), MASS, stats","car, gtools, multcomp, plotrix, scales",NA,NA,NA,"GPL-2 | file LICENCE",NA,NA,NA,NA,"no","4.4.0"
"DreamAI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,"R (>= 2.1.0), cluster, survival, randomForest, missForest,
glmnet, foreach, itertools, iterators, Matrix","Rcpp (>= 0.12.15)","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"DROMA.Set","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.5",NA,"R (>= 4.0.0)","DBI (>= 1.1.0), RSQLite (>= 2.2.0), methods",NA,"testthat (>= 3.0.0), knitr, rmarkdown, BiocStyle",NA,"MPL-2.0 + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"DropletUtils","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.26.0",NA,"SingleCellExperiment","utils, stats, methods, Matrix, Rcpp, BiocGenerics, S4Vectors,
IRanges, GenomicRanges, SummarizedExperiment, BiocParallel,
SparseArray (>= 1.5.18), DelayedArray (>= 0.31.9),
DelayedMatrixStats, HDF5Array, rhdf5, edgeR, R.utils, dqrng,
beachmat, scuttle","Rcpp, beachmat, Rhdf5lib, BH, dqrng, scuttle","testthat, knitr, BiocStyle, rmarkdown, jsonlite,
DropletTestFiles",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"DRR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.0.4",NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"DT","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.33",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dtplyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dtw","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.23-1",NA,"R (>= 2.10.0), proxy","graphics, grDevices, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"dtwclust","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","6.0.0",NA,"R (>= 3.3.0), methods, proxy (>= 0.4-16), dtw","parallel, stats, utils, clue, cluster, dplyr, flexclust,
foreach, ggplot2, ggrepel, rlang, Matrix (>= 1.5-0), RSpectra,
Rcpp, RcppParallel (>= 4.4.0), reshape2, shiny, shinyjs","Rcpp, RcppArmadillo, RcppParallel, RcppThread","doParallel, iterators, knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"duckdb","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.2",NA,"DBI, R (>= 4.1.0)","methods, utils",NA,"adbcdrivermanager, arrow (>= 13.0.0), bit64, callr, clock,
DBItest, dbplyr, dplyr, rlang, testthat, tibble, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"dunn.test","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"DWLS","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,"R (>= 3.5.0)","quadprog, reshape, Seurat, ROCR, varhandle, dplyr, stats,
utils, e1071, MAST, SummarizedExperiment",NA,"testthat (>= 3.0.0), Matrix (>= 1.3.3)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"dygraphs","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dynamicTreeCut","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.63-1",NA,"R (>= 2.3.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"DynDoc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.84.0",NA,"methods, utils","methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"e1071","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-16",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"earth","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.3.4",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),",NA,NA,"gam (>= 1.20), mgcv (>= 1.8-26), mda (>= 0.5-2), MASS (>=
7.3-51)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"easybio","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.1",NA,"R (>= 4.1.0)","data.table, ggplot2, httr2, R6, xml2",NA,"knitr, patchwork, rmarkdown, ggrepel, Seurat, limma,
GEOquery, fgsea, edgeR, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"EasyDNB","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.0",NA,NA,"future, magrittr, purrr, stats",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"easySCFr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.2.1",NA,NA,"httr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"EasyStat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,"R (>= 3.5.0)","dplyr, tidyr, multcomp, agricolae, ggpubr, multcompView,
reshape2, plyr, aplot",NA,NA,NA,"What license is it under?",NA,NA,NA,NA,"no","4.4.0"
"EBImage","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.48.0",NA,"methods","BiocGenerics (>= 0.7.1), graphics, grDevices, stats, abind,
tiff, jpeg, png, locfit, fftwtools (>= 0.9-7), utils,
htmltools, htmlwidgets, RCurl",NA,"BiocStyle, digest, knitr, rmarkdown, shiny",NA,"LGPL",NA,NA,NA,NA,"yes","4.4.1"
"echarts4r","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.5",NA,"R (>= 4.1.0)","htmlwidgets, dplyr (>= 0.7.0), purrr, countrycode, broom,
shiny, scales, corrplot, htmltools, jsonlite, rstudioapi",NA,"tidyr, testthat, knitr, rmarkdown, covr, data.tree, leaflet,
tibble",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.4.0"
"ECOSolveR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.5",NA,NA,"methods",NA,"knitr, rmarkdown, testthat, Matrix, covr, slam",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"edgeR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.2",NA,"R (>= 3.6.0), limma (>= 3.61.9)","methods, graphics, stats, utils, locfit",NA,"jsonlite, readr, rhdf5, splines, knitr, AnnotationDbi,
Biobase, BiocStyle, SummarizedExperiment, org.Hs.eg.db, Matrix,
SeuratObject",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.4.2"
"egg","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.5",NA,"gridExtra (>= 2.3), ggplot2","gtable, grid, grDevices, utils",NA,"knitr, png",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"ellipse","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.0",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"ellipsis","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"ellmer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.1",NA,"R (>= 4.1)","cli, coro (>= 1.1.0), glue, httr2 (>= 1.2.1), jsonlite, later
(>= 1.4.0), lifecycle, promises (>= 1.3.1), R6, rlang (>=
1.1.0), S7 (>= 0.2.0)",NA,"connectcreds, curl (>= 6.0.1), gargle, gitcreds, jose, knitr,
magick, openssl, paws.common, rmarkdown, shiny, shinychat (>=
0.2.0), testthat (>= 3.0.0), vcr (>= 2.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"emmeans","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.11.2-8",NA,"R (>= 4.1.0)","estimability (>= 1.4.1), graphics, methods, mvtnorm, numDeriv,
stats, utils",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
compositions, ggplot2, knitr, lattice, lme4, lmerTest (>=
2.0.32), logspline, MASS, mediation, mgcv, multcomp,
multcompView, MuMIn, nlme, ordinal (>= 2014.11-12), pbkrtest
(>= 0.4-1), rmarkdown, rsm, sandwich, scales, splines,
testthat, tibble, xtable (>= 1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"emoa","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5-3",NA,NA,NA,NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"energy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-12",NA,"R (>= 3.1)","Rcpp (>= 0.12.6), stats, boot, gsl","Rcpp","MASS, CompQuadForm, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"enrichplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.26.6",NA,"R (>= 3.5.0)","aplot (>= 0.2.1), DOSE (>= 3.31.2), ggfun (>= 0.1.7),
ggnewscale, ggplot2, ggrepel (>= 0.9.0), ggtangle (>= 0.0.4),
graphics, grid, igraph, methods, plyr, purrr, RColorBrewer,
reshape2, rlang, stats, utils, scatterpie, GOSemSim (>=
2.31.2), magrittr, ggtree, yulab.utils (>= 0.1.6)",NA,"clusterProfiler, dplyr, europepmc, ggarchery, ggupset, knitr,
rmarkdown, org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce,
ggHoriPlot, AnnotationDbi, ggplotify, ggridges, grDevices,
gridExtra, ggstar, scales, ggtreeExtra, tidydr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.2"
"enrichR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.4",NA,"R (>= 3.5.0)","httr, curl, rjson, ggplot2, WriteXLS",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"ensembldb","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.30.0",NA,"R (>= 3.5.0), BiocGenerics (>= 0.15.10), GenomicRanges (>=
1.31.18), GenomicFeatures (>= 1.49.6), AnnotationFilter (>=
1.5.2)","methods, RSQLite (>= 1.1), DBI, Biobase, GenomeInfoDb,
AnnotationDbi (>= 1.31.19), rtracklayer, S4Vectors (>=
0.23.10), Rsamtools, IRanges (>= 2.13.24), ProtGenerics,
Biostrings (>= 2.47.9), curl",NA,"BiocStyle, knitr, EnsDb.Hsapiens.v86 (>= 0.99.8), testthat,
BSgenome.Hsapiens.NCBI.GRCh38, ggbio (>= 1.24.0), Gviz (>=
1.20.0), rmarkdown, AnnotationHub","RMariaDB, shiny","LGPL",NA,NA,NA,NA,"no","4.4.1"
"entropy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.2",NA,"R (>= 3.4.0)",NA,NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"EnvStats","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1.0",NA,"R (>= 3.5.0)","MASS, ggplot2, nortest",NA,"lattice, qcc, sp, boot, tinytest, covr, Hmisc",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"eoffice","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.2",NA,"","officer, rvg, flextable, broom, dplyr, magrittr, ggplotify,
R.devices, devEMF, magick, ggplot2, htmlwidgets, plotly",NA,"knitr, markdown, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"Epi","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.60",NA,"R (>= 3.5.0), utils","cmprsk, etm, splines, MASS, survival, plyr, dplyr, Matrix,
numDeriv, data.table, zoo, mgcv, magrittr",NA,"mstate, nlme, lme4, demography, popEpi, tidyr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"EpiDISH","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.22.0",NA,"R (>= 4.1)","MASS, e1071, quadprog, parallel, stats, matrixStats, stringr,
locfdr, Matrix",NA,"roxygen2, GEOquery, BiocStyle, knitr, rmarkdown, Biobase,
testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"ergm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.10.1",NA,"R (>= 4.2), network (>= 1.19.0)","robustbase (>= 0.99-4-1), coda (>= 0.19-4.1), trust (>=
0.1-8), lpSolveAPI (>= 5.5.2.0-17.14), statnet.common (>=
4.12.0), rle (>= 0.10.0), purrr (>= 1.0.4), rlang (>= 1.1.6),
memoise (>= 2.0.1), tibble (>= 3.2.1), magrittr (>= 2.0.3),
Rdpack (>= 2.6.4), knitr (>= 1.50), stringr (>= 1.5.1), Matrix,
parallel, methods",NA,"latticeExtra (>= 0.6-30), sna (>= 2.8), rmarkdown (>= 2.29),
testthat (>= 3.2.3), ergm.count (>= 4.1.2), withr (>= 3.0.2),
covr (>= 3.6.4), Rglpk (>= 0.6-5.1), slam (>= 0.1-55),
networkLite (>= 1.1.0), lattice",NA,"GPL-3 + file LICENSE","yes","no",NA,NA,"yes","4.4.0"
"estimability","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.1",NA,"stats, R(>= 4.1.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"estimate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.13",NA,"R (>= 2.15.1)","utils, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"estmeansd","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,NA,"graphics, grDevices, metaBLUE, stats",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"etm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.2",NA,"R (>= 3.0.0)","survival, lattice, data.table, Rcpp (>= 0.11.4)","Rcpp, RcppArmadillo","ggplot2, kmi, geepack",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"etrunct","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"eulerr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","7.0.2",NA,"R (>= 3.3.0)","GenSA, graphics, grDevices, grid, polyclip, polylabelr, Rcpp,
stats, utils","Rcpp (>= 0.12.12), RcppArmadillo (>= 0.7.600.1.0)","covr, knitr, lattice, pBrackets, RConics, rmarkdown,
testthat, spelling",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"europepmc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.3",NA,"R (>= 3.00)","httr, jsonlite, plyr, dplyr, progress, urltools, purrr, xml2,
tibble, tidyr, rlang",NA,"testthat, knitr, rmarkdown, ggplot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"evaluate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.5",NA,"R (>= 3.6.0)",NA,NA,"callr, covr, ggplot2 (>= 3.3.6), lattice, methods, pkgload,
ragg (>= 1.4.0), rlang (>= 1.1.5), knitr, testthat (>= 3.0.0),
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"evd","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3-7.1",NA,"R (>= 2.10)","stats, grDevices, graphics",NA,"interp",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"evmix","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.12",NA,"stats, graphics, MASS, splines, gsl, SparseM, grDevices",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"Exact","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.3",NA,"R (>= 3.5.0)","graphics, stats, utils, rootSolve",NA,"ExactData",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"exactRankTests","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8-35",NA,"R (>= 2.4.0), stats, utils",NA,NA,"survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"ExperimentHub","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.14.0",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub, GenomicAlignments","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"expm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-0",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"export","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.2",NA,"R (>= 3.0)","stats, utils, datasets, grDevices, officer (>= 0.2.2), rvg (>=
0.1.8), xtable (>= 1.8-2), flextable (>= 0.4.3), xml2 (>=
1.2.0), stargazer (>= 5.2.1), openxlsx (>= 4.0.17), broom (>=
0.4.4), devEMF (>= 3.8)",NA,"rgl (>= 0.99.16), ggplot2 (>= 1.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"ExPosition","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.11.0",NA,"prettyGraphs (>= 2.2.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"extrafont","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.19",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"extrafontdb","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.4.1"
